	-20.51	0.00000000	0.88401256	
	-19.80	0.00000000	0.78976510	
	-19.09	0.00000000	0.89648047	
	-18.38	0.00000000	0.92682473	
	-17.68	0.00000000	0.98115872	
	-16.97	0.00000000	1.03191403	
	-16.26	0.00000000	1.17122536	
	-15.56	0.00000000	1.18616175	
	-14.85	0.00000000	1.29388132	
	-14.14	0.00000000	1.34896545	
	-13.43	0.00000000	1.52069268	
	-12.73	0.00000000	1.59978396	
	-12.02	0.00000000	1.76591715	
	-11.31	0.00000000	1.88094503	
	-10.61	0.00000000	2.19736051	
	-9.90	0.00000000	2.32023853	
	-9.19	0.00000000	2.68097297	
	-8.49	0.00000000	3.23562107	
	-7.78	0.00000000	4.61942792	
	-7.07	0.00000000	29.46831455	
	-6.36	0.00000000	76.91118606	
	-5.66	0.00000000	86.21461108	
	-4.95	0.00000000	89.49563904	
	-4.24	0.00000000	92.08852462	
	-3.54	0.00000000	94.21184503	
	-2.83	0.00000000	95.39222030	
	-2.12	0.00000000	96.53445092	
	-1.41	0.00000000	97.37522475	
	0.00	0.00000000	100.00000000	
	1.41	0.00000000	97.77633219	
	2.12	0.00000000	97.08439713	
	2.83	0.00000000	95.39389331	
	3.54	0.00000000	93.77764728	
	4.24	0.00000000	90.91794763	
	4.95	0.00000000	89.08522996	
	5.66	0.00000000	85.25494471	
	6.36	0.00000000	75.46907476	
	7.07	0.00000000	23.39334046	
	7.78	0.00000000	4.88483566	
	8.49	0.00000000	3.12054760	
	9.19	0.00000000	2.60270213	
	9.90	0.00000000	2.25500094	
	10.61	0.00000000	2.02879843	
	11.31	0.00000000	1.93157741	
	12.02	0.00000000	1.76145049	
	12.73	0.00000000	1.56010466	
	13.43	0.00000000	1.48559483	
	14.14	0.00000000	1.38530058	
	14.85	0.00000000	1.29839943	
	15.56	0.00000000	1.17168911	
	16.26	0.00000000	1.13834658	
	16.97	0.00000000	1.03099296	
	17.68	0.00000000	1.02312748	
	18.38	0.00000000	0.94117031	
	19.09	0.00000000	0.78109699	
	19.80	0.00000000	0.69449704	
	20.51	0.00000000	0.69881965	
	21.21	0.00000000	0.67594940	
	21.92	0.00000000	0.61929274	
	22.63	0.00000000	0.54047380	
