Patient Name: Water, Phantom
Patient ID: WP 001
Plan: 16MV
Course: TA
Date: Tuesday, June 02, 2020 2:48:10 PM
Exported by: alanphys

Start: (0.00, -0.13, 0.00)
End:   (0.00, 41.94, 0.00)

	Field 1
18.806270	68.736524
18.831278	68.662490
18.856287	68.588455
18.881295	68.514421
18.906303	68.440386
18.931312	68.366351
18.956320	68.292317
18.981328	68.218282
19.006337	68.144248
19.031345	68.071708
19.056353	67.999286
19.081362	67.926865
19.106370	67.854443
19.131379	67.782022
19.156387	67.709601
19.181395	67.637179
19.206404	67.564758
19.231412	67.492336
19.256420	67.419915
19.281429	67.347307
19.306437	67.274686
19.331445	67.202064
19.356454	67.129443
19.381462	67.056821
19.406470	66.984200
19.431479	66.911578
19.456487	66.838957
19.481495	66.766335
19.506504	66.693714
19.531512	66.620713
19.556520	66.547685
19.581529	66.474657
19.606537	66.401629
19.631545	66.328601
19.656554	66.255573
19.681562	66.182545
19.706570	66.109517
19.731579	66.036489
19.756587	65.963461
19.781595	65.890627
19.806604	65.817805
19.831612	65.744984
19.856620	65.672162
19.881629	65.599341
19.906637	65.526519
19.931645	65.453698
19.956654	65.380876
19.981662	65.308055
20.006670	65.235233
20.031679	65.163540
20.056687	65.091918
20.081695	65.020297
20.106704	64.948676
20.131712	64.877054
20.156720	64.805433
20.181729	64.733812
20.206737	64.662190
20.231745	64.590569
20.256754	64.518948
20.281762	64.448848
20.306770	64.378839
20.331779	64.308831
20.356787	64.238823
20.381795	64.168814
20.406804	64.098806
20.431812	64.028798
20.456820	63.958790
20.481829	63.888781
20.506837	63.818773
20.531845	63.750670
20.556854	63.682675
20.581862	63.614680
20.606870	63.546685
20.631879	63.478690
20.656887	63.410695
20.681895	63.342700
20.706904	63.274704
20.731912	63.206709
20.756920	63.138714
20.781929	63.073011
20.806937	63.007429
20.831945	62.941847
20.856954	62.876265
20.881962	62.810683
20.906971	62.745101
20.931979	62.679519
20.956987	62.613938
20.981996	62.548356
21.007004	62.482774
21.032012	62.417573
21.057021	62.352391
21.082029	62.287209
21.107037	62.222027
21.132046	62.156846
21.157054	62.091664
21.182062	62.026482
21.207071	61.961300
21.232079	61.896118
21.257087	61.830936
21.282096	61.765372
21.307104	61.699790
21.332112	61.634208
21.357121	61.568626
21.382129	61.503044
21.407137	61.437462
21.432146	61.371880
21.457154	61.306298
21.482162	61.240716
21.507171	61.175134
21.532179	61.109168
21.557187	61.043186
21.582196	60.977204
21.607204	60.911222
21.632212	60.845240
21.657221	60.779258
21.682229	60.713276
21.707237	60.647294
21.732246	60.581312
21.757254	60.515330
21.782262	60.449926
21.807271	60.384544
21.832279	60.319163
21.857287	60.253781
21.882296	60.188399
21.907304	60.123017
21.932312	60.057635
21.957321	59.992253
21.982329	59.926871
22.007337	59.861489
22.032346	59.796494
22.057354	59.731512
22.082362	59.666530
22.107371	59.601548
22.132379	59.536566
22.157387	59.471585
22.182396	59.406603
22.207404	59.341621
22.232412	59.276639
22.257421	59.211657
22.282429	59.148046
22.307437	59.084477
22.332446	59.020908
22.357454	58.957339
22.382462	58.893770
22.407471	58.830202
22.432479	58.766633
22.457487	58.703064
22.482496	58.639495
22.507504	58.575927
22.532512	58.514706
22.557521	58.453551
22.582529	58.392395
22.607537	58.331239
22.632546	58.270084
22.657554	58.208928
22.682562	58.147772
22.707571	58.086617
22.732579	58.025461
22.757588	57.964306
22.782596	57.904719
22.807604	57.845170
22.832613	57.785621
22.857621	57.726072
22.882629	57.666523
22.907638	57.606974
22.932646	57.547425
22.957654	57.487876
22.982663	57.428327
23.007671	57.368778
23.032679	57.308445
23.057688	57.248096
23.082696	57.187747
23.107704	57.127398
23.132713	57.067049
23.157721	57.006700
23.182729	56.946351
23.207738	56.886002
23.232746	56.825653
23.257754	56.765304
23.282763	56.704155
23.307771	56.642993
23.332779	56.581831
23.357788	56.520669
23.382796	56.459507
23.407804	56.398345
23.432813	56.337183
23.457821	56.276021
23.482829	56.214859
23.507838	56.153697
23.532846	56.092942
23.557854	56.032193
23.582863	55.971444
23.607871	55.910695
23.632879	55.849946
23.657888	55.789197
23.682896	55.728448
23.707904	55.667698
23.732913	55.606949
23.757921	55.546200
23.782929	55.486639
23.807938	55.427090
23.832946	55.367541
23.857954	55.307992
23.882963	55.248443
23.907971	55.188894
23.932979	55.129345
23.957988	55.069796
23.982996	55.010247
24.008004	54.950698
24.033013	54.892348
24.058021	54.834005
24.083029	54.775663
24.108038	54.717321
24.133046	54.658978
24.158054	54.600636
24.183063	54.542294
24.208071	54.483951
24.233079	54.425609
24.258088	54.367266
24.283096	54.309130
24.308104	54.250994
24.333113	54.192858
24.358121	54.134722
24.383129	54.076586
24.408138	54.018450
24.433146	53.960314
24.458154	53.902179
24.483163	53.844043
24.508171	53.785907
24.533180	53.727364
24.558188	53.668822
24.583196	53.610280
24.608205	53.551737
24.633213	53.493195
24.658221	53.434652
24.683230	53.376110
24.708238	53.317568
24.733246	53.259025
24.758255	53.200486
24.783263	53.142950
24.808271	53.085414
24.833280	53.027879
24.858288	52.970343
24.883296	52.912807
24.908305	52.855271
24.933313	52.797735
24.958321	52.740199
24.983330	52.682664
25.008338	52.625136
25.033346	52.568806
25.058355	52.512477
25.083363	52.456148
25.108371	52.399819
25.133380	52.343490
25.158388	52.287160
25.183396	52.230831
25.208405	52.174502
25.233413	52.118173
25.258421	52.061849
25.283430	52.006127
25.308438	51.950404
25.333446	51.894681
25.358455	51.838958
25.383463	51.783236
25.408471	51.727513
25.433480	51.671790
25.458488	51.616068
25.483496	51.560345
25.508505	51.504643
25.533513	51.450527
25.558521	51.396411
25.583530	51.342295
25.608538	51.288179
25.633546	51.234063
25.658555	51.179947
25.683563	51.125831
25.708571	51.071715
25.733580	51.017599
25.758588	50.963506
25.783596	50.910796
25.808605	50.858087
25.833613	50.805378
25.858621	50.752668
25.883630	50.699959
25.908638	50.647249
25.933646	50.594540
25.958655	50.541830
25.983663	50.489121
26.008671	50.436427
26.033680	50.384525
26.058688	50.332622
26.083696	50.280719
26.108705	50.228816
26.133713	50.176913
26.158721	50.125010
26.183730	50.073107
26.208738	50.021204
26.233746	49.969301
26.258755	49.917375
26.283763	49.864466
26.308771	49.811556
26.333780	49.758647
26.358788	49.705737
26.383797	49.652828
26.408805	49.599918
26.433813	49.547009
26.458822	49.494099
26.483830	49.441190
26.508838	49.388254
26.533847	49.334338
26.558855	49.280422
26.583863	49.226506
26.608872	49.172590
26.633880	49.118674
26.658888	49.064758
26.683897	49.010841
26.708905	48.956925
26.733913	48.903009
26.758922	48.849124
26.783930	48.796221
26.808938	48.743318
26.833947	48.690414
26.858955	48.637511
26.883963	48.584608
26.908972	48.531705
26.933980	48.478802
26.958988	48.425899
26.983997	48.372996
27.009005	48.320146
27.034013	48.268844
27.059022	48.217541
27.084030	48.166238
27.109038	48.114935
27.134047	48.063632
27.159055	48.012329
27.184063	47.961027
27.209072	47.909724
27.234080	47.858421
27.259088	47.807148
27.284097	47.756651
27.309105	47.706155
27.334113	47.655659
27.359122	47.605162
27.384130	47.554666
27.409138	47.504170
27.434147	47.453674
27.459155	47.403177
27.484163	47.352681
27.509172	47.302209
27.534180	47.252319
27.559188	47.202429
27.584197	47.152540
27.609205	47.102650
27.634213	47.052760
27.659222	47.002870
27.684230	46.952981
27.709238	46.903091
27.734247	46.853201
27.759255	46.803372
27.784263	46.754889
27.809272	46.706406
27.834280	46.657923
27.859288	46.609439
27.884297	46.560956
27.909305	46.512473
27.934313	46.463990
27.959322	46.415507
27.984330	46.367024
28.009338	46.318541
28.034347	46.270057
28.059355	46.221574
28.084363	46.173091
28.109372	46.124608
28.134380	46.076125
28.159389	46.027642
28.184397	45.979159
28.209405	45.930675
28.234414	45.882192
28.259422	45.833659
28.284430	45.784176
28.309439	45.734693
28.334447	45.685210
28.359455	45.635726
28.384464	45.586243
28.409472	45.536760
28.434480	45.487277
28.459489	45.437793
28.484497	45.388310
28.509505	45.338848
28.534514	45.289758
28.559522	45.240668
28.584530	45.191579
28.609539	45.142489
28.634547	45.093399
28.659555	45.044310
28.684564	44.995220
28.709572	44.946130
28.734580	44.897041
28.759589	44.848042
28.784597	44.800566
28.809605	44.753089
28.834614	44.705612
28.859622	44.658136
28.884630	44.610659
28.909639	44.563183
28.934647	44.515706
28.959655	44.468230
28.984664	44.420753
29.009672	44.373373
29.034680	44.327503
29.059689	44.281633
29.084697	44.235763
29.109705	44.189893
29.134714	44.144023
29.159722	44.098153
29.184730	44.052283
29.209739	44.006413
29.234747	43.960543
29.259755	43.914712
29.284764	43.869448
29.309772	43.824185
29.334780	43.778921
29.359789	43.733658
29.384797	43.688395
29.409805	43.643131
29.434814	43.597868
29.459822	43.552604
29.484830	43.507341
29.509839	43.462105
29.534847	43.417248
29.559855	43.372391
29.584864	43.327534
29.609872	43.282677
29.634880	43.237820
29.659889	43.192963
29.684897	43.148106
29.709905	43.103249
29.734914	43.058392
29.759922	43.013521
