Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:40:28 AM
Exported by: alanphys

Start: (-14.63, 4.78, -0.28)
End:   (14.77, 4.78, -0.28)

	20x20-6MV
17.634375	127.348826
17.659388	127.354686
17.684402	127.360547
17.709415	127.366407
17.734428	127.372267
17.759441	127.377825
17.784455	127.382885
17.809468	127.387945
17.834481	127.393005
17.859495	127.398065
17.884508	127.403125
17.909521	127.408185
17.934535	127.413245
17.959548	127.418305
17.984561	127.423365
18.009574	127.428087
18.034588	127.432265
18.059601	127.436442
18.084614	127.440620
18.109628	127.444798
18.134641	127.448975
18.159654	127.453153
18.184668	127.457330
18.209681	127.461508
18.234694	127.465685
18.259707	127.470489
18.284721	127.476282
18.309734	127.482074
18.334747	127.487866
18.359761	127.493658
18.384774	127.499450
18.409787	127.505243
18.434801	127.511035
18.459814	127.516827
18.484827	127.522619
18.509840	127.529811
18.534854	127.539160
18.559867	127.548509
18.584880	127.557858
18.609894	127.567207
18.634907	127.576556
18.659920	127.585905
18.684934	127.595254
18.709947	127.604603
18.734960	127.613952
18.759973	127.624113
18.784987	127.635497
18.810000	127.646881
18.835013	127.658265
18.860027	127.669649
18.885040	127.681033
18.910053	127.692417
18.935066	127.703801
18.960080	127.715185
18.985093	127.726569
19.010106	127.737070
19.035120	127.746269
19.060133	127.755468
19.085146	127.764668
19.110160	127.773867
19.135173	127.783066
19.160186	127.792266
19.185199	127.801465
19.210213	127.810664
19.235226	127.819864
19.260239	127.828590
19.285253	127.836633
19.310266	127.844676
19.335279	127.852719
19.360293	127.860762
19.385306	127.868806
19.410319	127.876849
19.435332	127.884892
19.460346	127.892935
19.485359	127.900978
19.510372	127.908231
19.535386	127.914369
19.560399	127.920506
19.585412	127.926643
19.610426	127.932781
19.635439	127.938918
19.660452	127.945055
19.685465	127.951193
19.710479	127.957330
19.735492	127.963467
19.760505	127.968240
19.785519	127.971127
19.810532	127.974014
19.835545	127.976902
19.860559	127.979789
19.885572	127.982677
19.910585	127.985564
19.935598	127.988451
19.960612	127.991339
19.985625	127.994226
20.010638	127.994064
20.035652	127.989783
20.060665	127.985501
20.085678	127.981219
20.110691	127.976937
20.135705	127.972655
20.160718	127.968374
20.185731	127.964092
20.210745	127.959810
20.235758	127.955528
20.260771	127.948354
20.285785	127.937355
20.310798	127.926356
20.335811	127.915357
20.360824	127.904358
20.385838	127.893358
20.410851	127.882359
20.435864	127.871360
20.460878	127.860361
20.485891	127.849362
20.510904	127.837712
20.535918	127.825220
20.560931	127.812728
20.585944	127.800235
20.610957	127.787743
20.635971	127.775250
20.660984	127.762758
20.685997	127.750266
20.711011	127.737773
20.736024	127.725281
20.761037	127.713355
20.786051	127.702145
20.811064	127.690936
20.836077	127.679726
20.861090	127.668517
20.886104	127.657307
20.911117	127.646098
20.936130	127.634888
20.961144	127.623679
20.986157	127.612469
21.011170	127.601459
21.036184	127.590695
21.061197	127.579932
21.086210	127.569168
21.111223	127.558404
21.136237	127.547641
21.161250	127.536877
21.186263	127.526113
21.211277	127.515350
21.236290	127.504586
21.261303	127.493404
21.286316	127.481713
21.311330	127.470023
21.336343	127.458333
21.361356	127.446642
21.386370	127.434952
21.411383	127.423262
21.436396	127.411572
21.461410	127.399881
21.486423	127.388191
21.511436	127.375322
21.536449	127.361054
21.561463	127.346785
21.586476	127.332517
21.611489	127.318249
21.636503	127.303981
21.661516	127.289712
21.686529	127.275444
21.711543	127.261176
21.736556	127.246907
21.761569	127.231344
21.786582	127.214276
21.811596	127.197208
21.836609	127.180140
21.861622	127.163072
21.886636	127.146004
21.911649	127.128937
21.936662	127.111869
21.961676	127.094801
21.986689	127.077733
22.011702	127.059351
