Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=36	
-13.4353368940257	88.06	
-13.4053368940257	88.07	
-13.3753368940257	88.08	
-13.3453368940257	88.10	
-13.3153368940257	88.08	
-13.2853368940257	88.07	
-13.2553368940257	88.05	
-13.2253368940257	88.03	
-13.1953368940257	88.03	
-13.1653368940257	88.05	
-13.1353368940257	88.06	
-13.1053368940257	88.07	
-13.0753368940257	88.08	
-13.0453368940257	88.08	
-13.0153368940257	88.07	
-12.9853368940257	88.06	
-12.9553368940257	88.05	
-12.9253368940257	88.07	
-12.8953368940257	88.10	
-12.8653368940257	88.13	
-12.8353368940257	88.15	
-12.8053368940257	88.17	
-12.7753368940257	88.13	
-12.7453368940257	88.10	
-12.7153368940257	88.06	
-12.6853368940257	88.03	
-12.6553368940257	87.99	
-12.6253368940257	87.96	
-12.5953368940257	87.93	
-12.5653368940257	87.89	
-12.5353368940257	87.87	
-12.5053368940257	87.85	
-12.4753368940257	87.84	
-12.4453368940257	87.82	
-12.4153368940257	87.81	
-12.3853368940257	87.84	
-12.3553368940257	87.87	
-12.3253368940257	87.90	
-12.2953368940257	87.94	
-12.2653368940257	87.92	
-12.2353368940257	87.87	
-12.2053368940257	87.81	
-12.1753368940257	87.76	
-12.1453368940257	87.72	
-12.1153368940257	87.78	
-12.0853368940257	87.83	
-12.0553368940257	87.89	
-12.0253368940257	87.94	
-11.9953368940257	87.90	
-11.9653368940257	87.83	
-11.9353368940257	87.76	
-11.9053368940257	87.69	
-11.8753368940257	87.65	
-11.8453368940257	87.69	
-11.8153368940257	87.72	
-11.7853368940257	87.76	
-11.7553368940257	87.79	
-11.7253368940257	87.80	
-11.6953368940257	87.79	
-11.6653368940257	87.79	
-11.6353368940257	87.79	
-11.6053368940257	87.78	
-11.5753368940257	87.76	
-11.5453368940257	87.75	
-11.5153368940257	87.73	
-11.4853368940257	87.71	
-11.4553368940257	87.72	
-11.4253368940257	87.74	
-11.3953368940257	87.75	
-11.3653368940257	87.76	
-11.3353368940257	87.73	
-11.3053368940257	87.67	
-11.2753368940257	87.62	
-11.2453368940257	87.56	
-11.2153368940257	87.51	
-11.1853368940257	87.51	
-11.1553368940257	87.50	
-11.1253368940257	87.50	
-11.0953368940257	87.49	
-11.0653368940257	87.56	
-11.0353368940257	87.65	
-11.0053368940257	87.73	
-10.9753368940257	87.82	
-10.9453368940257	87.84	
-10.9153368940257	87.77	
-10.8853368940257	87.70	
-10.8553368940257	87.62	
-10.8253368940257	87.55	
-10.7953368940257	87.60	
-10.7653368940257	87.65	
-10.7353368940257	87.70	
-10.7053368940257	87.75	
-10.6753368940257	87.76	
-10.6453368940257	87.75	
-10.6153368940257	87.75	
-10.5853368940257	87.74	
-10.5553368940257	87.73	
-10.5253368940257	87.71	
-10.4953368940257	87.69	
-10.4653368940257	87.66	
-10.4353368940257	87.64	
-10.4053368940257	87.64	
-10.3753368940257	87.64	
-10.3453368940257	87.64	
-10.3153368940257	87.64	
-10.2853368940257	87.65	
-10.2553368940257	87.70	
-10.2253368940257	87.75	
-10.1953368940257	87.79	
-10.1653368940257	87.84	
-10.1353368940257	87.85	
