Delivery System	U09	
Energy	10 MV	
Scan Type	Crossline	
Depth	5.00	
Field	21cm x 16cm (Jaws)	
Wedge	Open Field	
Comments	26x26 cr	

	5.00 cm : ScanId=407	
-10.1889329000001	132.85	
-10.1789329000001	132.98	
-10.1689329000001	133.12	
-10.1589329000001	133.26	
-10.1489329000001	133.40	
-10.1389329000001	133.53	
-10.1289329000001	133.67	
-10.1189329000001	133.80	
-10.1089329000001	133.91	
-10.0989329000001	134.01	
-10.0889329000001	134.11	
-10.0789329000001	134.22	
-10.0689329000001	134.32	
-10.0589329000001	134.43	
-10.0489329000001	134.53	
-10.0389329000001	134.63	
-10.0289329000001	134.74	
-10.0189329000001	134.84	
-10.0089329000001	134.94	
-9.99893290000012	135.02	
-9.98893290000012	135.11	
-9.97893290000012	135.19	
-9.96893290000012	135.27	
-9.95893290000012	135.36	
-9.94893290000012	135.44	
-9.93893290000012	135.52	
-9.92893290000012	135.61	
-9.91893290000012	135.69	
-9.90893290000012	135.77	
-9.89893290000012	135.85	
-9.88893290000012	135.91	
-9.87893290000012	135.97	
-9.86893290000012	136.03	
-9.85893290000012	136.09	
-9.84893290000012	136.15	
-9.83893290000012	136.21	
-9.82893290000012	136.27	
-9.81893290000012	136.33	
-9.80893290000012	136.39	
-9.79893290000012	136.45	
-9.78893290000012	136.51	
-9.77893290000012	136.57	
-9.76893290000012	136.63	
-9.75893290000012	136.68	
-9.74893290000012	136.74	
-9.73893290000012	136.79	
-9.72893290000012	136.85	
-9.71893290000012	136.90	
-9.70893290000013	136.96	
-9.69893290000013	137.01	
-9.68893290000013	137.07	
-9.67893290000013	137.12	
-9.66893290000013	137.14	
-9.65893290000013	137.16	
-9.64893290000013	137.17	
-9.63893290000013	137.19	
-9.62893290000013	137.21	
-9.61893290000013	137.23	
-9.60893290000013	137.25	
-9.59893290000013	137.27	
-9.58893290000013	137.28	
-9.57893290000013	137.30	
-9.56893290000013	137.32	
-9.55893290000013	137.36	
-9.54893290000013	137.40	
-9.53893290000013	137.44	
-9.52893290000013	137.48	
-9.51893290000013	137.52	
-9.50893290000013	137.56	
-9.49893290000013	137.59	
-9.48893290000013	137.63	
-9.47893290000013	137.67	
-9.46893290000013	137.71	
-9.45893290000013	137.75	
-9.44893290000013	137.78	
-9.43893290000013	137.81	
-9.42893290000013	137.85	
-9.41893290000013	137.88	
-9.40893290000013	137.91	
-9.39893290000013	137.94	
-9.38893290000013	137.98	
-9.37893290000013	138.01	
-9.36893290000013	138.04	
-9.35893290000013	138.08	
-9.34893290000013	138.11	
-9.33893290000013	138.14	
-9.32893290000013	138.18	
-9.31893290000013	138.21	
-9.30893290000013	138.25	
-9.29893290000013	138.28	
-9.28893290000013	138.32	
-9.27893290000013	138.35	
-9.26893290000013	138.39	
-9.25893290000013	138.42	
-9.24893290000013	138.46	
-9.23893290000014	138.49	
-9.22893290000014	138.50	
-9.21893290000014	138.51	
-9.20893290000014	138.52	
-9.19893290000014	138.52	
-9.18893290000014	138.53	
-9.17893290000014	138.54	
-9.16893290000014	138.55	
-9.15893290000014	138.56	
-9.14893290000014	138.57	
-9.13893290000014	138.58	
-9.12893290000014	138.59	
-9.11893290000014	138.61	
-9.10893290000014	138.63	
-9.09893290000014	138.64	
-9.08893290000014	138.66	
-9.07893290000014	138.68	
-9.06893290000014	138.69	
-9.05893290000014	138.71	
-9.04893290000014	138.73	
-9.03893290000014	138.75	
-9.02893290000014	138.76	
-9.01893290000014	138.79	
-9.00893290000014	138.83	
-8.99893290000014	138.87	
-8.98893290000014	138.91	
-8.97893290000014	138.95	
-8.96893290000014	138.99	
-8.95893290000014	139.03	
-8.94893290000014	139.07	
-8.93893290000014	139.11	
-8.92893290000014	139.15	
-8.91893290000014	139.19	
-8.90893290000014	139.22	
-8.89893290000014	139.23	
-8.88893290000014	139.24	
-8.87893290000014	139.25	
-8.86893290000014	139.26	
-8.85893290000014	139.27	
-8.84893290000014	139.28	
-8.83893290000014	139.29	
-8.82893290000014	139.30	
-8.81893290000014	139.31	
-8.80893290000014	139.32	
-8.79893290000014	139.33	
