Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=35	
-17.1532151828744	88.78	
-17.1232151828744	88.80	
-17.0932151828744	88.82	
-17.0632151828744	88.84	
-17.0332151828744	88.85	
-17.0032151828744	88.86	
-16.9732151828744	88.87	
-16.9432151828744	88.88	
-16.9132151828744	88.89	
-16.8832151828744	88.89	
-16.8532151828744	88.89	
-16.8232151828744	88.90	
-16.7932151828744	88.90	
-16.7632151828744	88.91	
-16.7332151828744	88.92	
-16.7032151828744	88.93	
-16.6732151828744	88.94	
-16.6432151828744	88.95	
-16.6132151828743	88.97	
-16.5832151828743	88.99	
-16.5532151828743	89.02	
-16.5232151828743	89.04	
-16.4932151828743	89.01	
-16.4632151828743	88.98	
-16.4332151828743	88.95	
-16.4032151828743	88.92	
-16.3732151828743	88.90	
-16.3432151828743	88.89	
-16.3132151828743	88.87	
-16.2832151828743	88.86	
-16.2532151828743	88.85	
-16.2232151828743	88.90	
-16.1932151828743	88.94	
-16.1632151828743	88.99	
-16.1332151828743	89.03	
-16.1032151828743	89.02	
-16.0732151828743	88.99	
-16.0432151828743	88.96	
-16.0132151828743	88.92	
-15.9832151828743	88.90	
-15.9532151828743	88.92	
-15.9232151828743	88.94	
-15.8932151828743	88.96	
-15.8632151828743	88.98	
-15.8332151828743	89.00	
-15.8032151828743	89.02	
-15.7732151828743	89.04	
-15.7432151828743	89.06	
-15.7132151828743	89.07	
-15.6832151828743	89.05	
-15.6532151828743	89.02	
-15.6232151828743	89.00	
-15.5932151828743	88.98	
-15.5632151828743	88.96	
-15.5332151828743	88.95	
-15.5032151828743	88.93	
-15.4732151828743	88.92	
-15.4432151828743	88.91	
-15.4132151828743	88.89	
-15.3832151828743	88.88	
-15.3532151828743	88.86	
-15.3232151828743	88.85	
-15.2932151828743	88.87	
-15.2632151828743	88.89	
-15.2332151828743	88.91	
-15.2032151828743	88.93	
-15.1732151828743	88.92	
-15.1432151828743	88.91	
-15.1132151828743	88.90	
-15.0832151828743	88.89	
-15.0532151828743	88.87	
-15.0232151828743	88.83	
-14.9932151828743	88.79	
-14.9632151828743	88.75	
-14.9332151828743	88.71	
-14.9032151828743	88.73	
-14.8732151828744	88.74	
-14.8432151828744	88.76	
-14.8132151828744	88.77	
-14.7832151828744	88.77	
-14.7532151828744	88.77	
-14.7232151828744	88.76	
-14.6932151828744	88.75	
-14.6632151828744	88.74	
-14.6332151828744	88.66	
-14.6032151828744	88.58	
-14.5732151828744	88.50	
-14.5432151828744	88.42	
-14.5132151828744	88.42	
-14.4832151828744	88.47	
-14.4532151828744	88.52	
-14.4232151828744	88.56	
-14.3932151828744	88.60	
-14.3632151828744	88.61	
-14.3332151828744	88.63	
-14.3032151828744	88.64	
-14.2732151828744	88.65	
-14.2432151828744	88.63	
-14.2132151828744	88.61	
-14.1832151828744	88.58	
-14.1532151828744	88.55	
-14.1232151828744	88.52	
-14.0932151828744	88.49	
-14.0632151828744	88.45	
-14.0332151828744	88.42	
-14.0032151828744	88.39	
-13.9732151828744	88.33	
-13.9432151828744	88.28	
-13.9132151828744	88.23	
-13.8832151828744	88.18	
-13.8532151828744	88.18	
-13.8232151828744	88.22	
-13.7932151828744	88.26	
-13.7632151828744	88.29	
-13.7332151828744	88.33	
-13.7032151828744	88.33	
-13.6732151828744	88.34	
-13.6432151828744	88.34	
-13.6132151828744	88.35	
-13.5832151828744	88.34	
-13.5532151828744	88.32	
-13.5232151828744	88.31	
-13.4932151828744	88.30	
-13.4632151828744	88.28	
-13.4332151828744	88.26	
-13.4032151828744	88.24	
-13.3732151828744	88.22	
-13.3432151828744	88.20	
-13.3132151828744	88.17	
-13.2832151828744	88.14	
-13.2532151828744	88.10	
-13.2232151828744	88.07	
-13.1932151828744	88.05	
-13.1632151828744	88.04	
-13.1332151828744	88.03	
-13.1032151828744	88.02	
-13.0732151828744	88.01	
-13.0432151828744	88.00	
-13.0132151828744	87.98	
-12.9832151828744	87.97	
-12.9532151828744	87.95	
-12.9232151828744	87.95	
-12.8932151828744	87.95	
-12.8632151828744	87.96	
-12.8332151828744	87.96	
-12.8032151828744	87.96	
-12.7732151828744	87.93	
-12.7432151828744	87.91	
-12.7132151828744	87.88	
-12.6832151828744	87.85	
-12.6532151828744	87.88	
-12.6232151828744	87.91	
-12.5932151828744	87.94	
-12.5632151828744	87.97	
-12.5332151828744	87.97	
-12.5032151828744	87.95	
-12.4732151828744	87.92	
-12.4432151828744	87.90	
-12.4132151828744	87.87	
-12.3832151828744	87.87	
-12.3532151828744	87.86	
-12.3232151828744	87.86	
-12.2932151828744	87.86	
-12.2632151828744	87.86	
-12.2332151828744	87.85	
-12.2032151828744	87.84	
-12.1732151828744	87.84	
-12.1432151828744	87.83	
